ScrapedName,PlayerID,Method,MatchedName
Jurgis Tihomirovs,10856,Fuzzy,Jurģis Tihomirovs
Jurgita Vasileviciene,2006,Exact,Jurgita Vasileviciene
Juri Artamonov,4754,Exact,Juri Artamonov
Jørn Moldvær,1223,Exact,Jørn Moldvær
Jēkabs REĶIS,10720,Exact,Jēkabs REĶIS
Kai Armonies,1818,Exact,Kai Armonies
Kalle Bindekrans,906,Manual,Kalle Bindekrans
Karl Jönsson,2310,Exact,Karl Jönsson
Karlis Balodis,912,Fuzzy,Kārlis Balodis
Karyna Pirumshoieva,11648,Fuzzy,Karina Pirumshoeva
Kaspars Vilums,12517,Fuzzy,Kaspars Viļums
Katrina Lihacova,9739,Manual,Katrina Lihacova
Kenneth Nielsen,9240,Exact,Kenneth Nielsen
Kenneth Nilsson,9240,Fuzzy,Kenneth Nielsen
Kenny Kunto,5455,Exact,Kenny Kunto
Kent Nielsen,6576,Exact,Kent Nielsen
Kent Nyman,4656,Exact,Kent Nyman
Kenth Ericsson,2693,Exact,Kenth Ericsson
Kevin Eriksson,1505,Exact,Kevin Eriksson
Kevin Rafferty,4793,Exact,Kevin Rafferty
Kevin Wall,2218,Exact,Kevin Wall
Kevin Wallin,2218,Fuzzy,Kevin Wall
Kim Eriksson,409,Fuzzy,Kimmo Eriksson
Kimmo Eriksson,409,Exact,Kimmo Eriksson
Kirill Storchak,46,Exact,Kirill Storchak
Kjetil Sagen,2284,Exact,Kjetil Sagen
Klara Jonsson,3534,Exact,Klara Jonsson
Klavdij Starman,10535,Exact,Klavdij Starman
Krisjanis Zemnickis,13403,Manual,Krisjanis Zemnickis
Krista Annija Lagzdina,15548,Manual,Krista Annija Lagzdina
Krista Lagzdiņa,15548,Fuzzy,Krista Lagzdina
Kristaps NAGLIS,9863,Exact,Kristaps NAGLIS
Kristaps Naglis,9863,Exact,Kristaps Naglis
Kristaps Riekstins,4652,Fuzzy,Kristaps Riekstiņš
Kristaps Riekstiņš,4652,Exact,Kristaps Riekstiņš
Kristaps Zarinieks,979,Exact,Kristaps Zarinieks
Kristian Bengtsson,2219,Exact,Kristian Bengtsson
Kristian Iso-Tryykari,9217,Fuzzy,Kristian Iso-Tryykäri
Kristian Iso-Tryykäri,9217,Exact,Kristian Iso-Tryykäri
Kristin Fjermestad,4210,Exact,Kristin Fjermestad
